SerialNumber,Status,Timestamp,Message
a011x,FAILED,2025-08-05 14:35:39,通訊錯誤: module 'serial' has no attribute 'Serial'
a011x,FAILED,2025-08-05 14:43:19,通訊錯誤: module 'serial' has no attribute 'Serial'
a011x,FAILED,2025-08-05 14:44:42,"通訊錯誤: could not open port 'COM4': PermissionError(13, '存取被拒。', None, 5)"
a011x,FAILED,2025-08-05 14:44:55,"通訊錯誤: could not open port 'COM4': PermissionError(13, '存取被拒。', None, 5)"
a011x,FAILED,2025-08-05 14:45:57,"通訊錯誤: could not open port 'COM4': PermissionError(13, '存取被拒。', None, 5)"
a011x,FAILED,2025-08-05 14:48:55,無回應: 可能設備未進入燒錄模式或連接問題
a011x,FAILED,2025-08-05 14:49:14,"通訊錯誤: could not open port 'COM4': FileNotFoundError(2, '系統找不到指定的檔案。', None, 2)"
a011x,FAILED,2025-08-05 14:49:30,無回應: 可能設備未進入燒錄模式或連接問題
a011x,FAILED,2025-08-05 14:55:40,"無法打開串口 COM4: could not open port 'COM4': PermissionError(13, '存取被拒。', None, 5)"
a011x,FAILED,2025-08-05 15:05:53,"無法打開串口 COM4: could not open port 'COM4': PermissionError(13, '存取被拒。', None, 5)"
a011x,SUCCESS,2025-08-05 15:06:33,成功燒錄: a011x
a011x,SUCCESS,2025-08-05 15:06:50,成功燒錄: a011x
a011x,SUCCESS,2025-08-05 15:10:46,成功燒錄: a011x
a011x,SUCCESS,2025-08-05 15:11:43,成功燒錄: a011x
a011x,FAILED,2025-08-05 16:03:58,"無法打開串口 COM4: could not open port 'COM4': PermissionError(13, '存取被拒。', None, 5)"
a011x,FAILED,2025-08-05 16:07:02,設備無回應，請檢查連接和電源
a011x,SUCCESS,2025-08-05 16:07:23,成功燒錄: a011x
a011y,FAILED,2025-08-05 16:53:26,設備無回應，請檢查連接和電源
a011z,FAILED,2025-08-05 16:53:43,設備回報錯誤: ERROR:INVALID_SN
a0120,FAILED,2025-08-05 16:54:05,設備回報錯誤: ERROR:INVALID_SN
a011y,FAILED,2025-08-05 17:15:13,串口連接失敗
a011z,FAILED,2025-08-05 17:15:19,串口連接失敗
a0120,FAILED,2025-08-05 17:15:23,串口連接失敗
a011y,FAILED,2025-08-05 17:15:55,設備回報錯誤: ERROR:INVALID_SN_FORMAT
a011z,FAILED,2025-08-05 17:16:27,設備回報錯誤: ERROR:INVALID_SN_FORMAT
a0120,FAILED,2025-08-05 17:16:45,設備回報錯誤: ERROR:INVALID_SN_FORMAT
a0121,FAILED,2025-08-05 17:34:32,串口連接失敗
a0122,FAILED,2025-08-05 17:34:36,串口連接失敗
a0123,SUCCESS,2025-08-05 17:34:59,成功燒錄: a0123
a0125,FAILED,2025-08-05 17:35:22,設備無回應，請檢查連接和電源
a0126,SUCCESS,2025-08-05 17:35:40,成功燒錄: a0126
a0127,FAILED,2025-08-05 17:36:07,設備無回應，請檢查連接和電源
a011y,SUCCESS,2025-08-05 17:36:21,成功燒錄: a011y
a011x,SUCCESS,2025-08-05 17:37:27,成功燒錄: a011x
a011y,SUCCESS,2025-08-05 17:37:42,成功燒錄: a011y
a011z,SUCCESS,2025-08-05 17:37:57,成功燒錄: a011z
a0120,SUCCESS,2025-08-05 17:38:38,成功燒錄: a0120
